epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,9496.56,0.37635,0.29891,0.83047,0.95352,0.92386,0.97484,0.89585,0.64991,0.62037,0.9929,0.000891345,0.000891345,0.000891345
96,9594.83,0.3651,0.29259,0.8261,0.94839,0.92139,0.97295,0.89567,0.66229,0.65785,1.0067,0.000883093,0.000883093,0.000883093
97,9692.13,0.33963,0.27975,0.82046,0.9483,0.92932,0.97308,0.89247,0.69047,0.65194,1.02208,0.000874842,0.000874842,0.000874842
98,9790.34,0.36368,0.29411,0.83241,0.95265,0.92929,0.97592,0.89951,0.66588,0.58802,0.99619,0.00086659,0.00086659,0.00086659
99,9887.84,0.35288,0.28353,0.83019,0.94918,0.93509,0.97889,0.89825,0.67424,0.54959,1.00525,0.000858338,0.000858338,0.000858338
100,9984.73,0.34483,0.28213,0.82662,0.94872,0.9388,0.97834,0.89765,0.67385,0.56339,1.00266,0.000850087,0.000850087,0.000850087
101,10086.6,0.37016,0.29512,0.82924,0.94033,0.9433,0.97445,0.89677,0.65877,0.5865,0.99855,0.000841835,0.000841835,0.000841835
102,10185.3,0.34385,0.27884,0.8247,0.9479,0.92703,0.97099,0.89441,0.67883,0.66872,1.00656,0.000833583,0.000833583,0.000833583
103,10283.8,0.34385,0.28088,0.82583,0.95049,0.9228,0.97413,0.89844,0.65856,0.65071,0.99498,0.000825332,0.000825332,0.000825332
104,10384.9,0.36423,0.28805,0.82919,0.94191,0.93342,0.9732,0.89713,0.66028,0.60974,0.99626,0.00081708,0.00081708,0.00081708
105,10485.5,0.37119,0.29353,0.82997,0.95286,0.92845,0.97181,0.88978,0.68962,0.60315,1.01969,0.000808828,0.000808828,0.000808828
106,10584.9,0.35679,0.28003,0.82588,0.957,0.92745,0.9747,0.89377,0.67849,0.60933,1.01973,0.000800577,0.000800577,0.000800577
107,10685,0.34806,0.27857,0.81899,0.95296,0.92198,0.97205,0.8945,0.68842,0.62954,1.02031,0.000792325,0.000792325,0.000792325
108,10785.7,0.34191,0.27504,0.82196,0.95055,0.92557,0.97186,0.89638,0.66432,0.60526,1.00476,0.000784073,0.000784073,0.000784073
109,10883.9,0.34095,0.27701,0.82503,0.94603,0.9117,0.96598,0.89446,0.66071,0.74564,0.99844,0.000775822,0.000775822,0.000775822
110,10988.2,0.35764,0.28257,0.82312,0.94555,0.93613,0.97408,0.90068,0.64692,0.63264,0.99687,0.00076757,0.00076757,0.00076757
111,11088.5,0.3231,0.26531,0.8178,0.94835,0.92441,0.96927,0.90022,0.67081,0.69262,1.0144,0.000759318,0.000759318,0.000759318
112,11190.4,0.35536,0.2822,0.8168,0.95071,0.92815,0.97335,0.89843,0.68093,0.63386,1.01288,0.000751067,0.000751067,0.000751067
113,11291.8,0.34446,0.27595,0.82212,0.95032,0.93472,0.97509,0.89438,0.64096,0.56231,0.99418,0.000742815,0.000742815,0.000742815
